customer_id,customer_first_name,customer_last_name,gender,govt_id,date_of_birth,annual_income,credit_card_number,card_provider,mobile_number,region,address,created_on
d1f6f86c-029a-4245-bb91-433a6aa79987,Mandy,Evans,Female,378-25-4428,1992-08-30,106352.09,4516-4829-8251-8697,American Express,7282841760,Europe,"13550 Etienne Pass Adamburgh, WI 76537",2024-02-04 17:36:43
6a1eccda-a70c-41b5-9978-cec0495cfa4f,Daniel,Maldonado,Male,187-95-6145,1964-12-13,122214.74,4031-7382-4968-2022,American Express,9177901828,Asia-Pacific,"358, Brar Path, North Dumdum 007162",2024-01-03 06:34:07
372139f3-5e25-43dd-b65b-9045c5bc647a,Erika,Juarez,Female,493-80-1009,1935-03-04,104182.97,4596-8351-8217-2537,American Express,8163516356,North America,"2818 Dwayne Shoals Blackwellville, KS 66714",2024-03-19 20:44:27
f46d4e1d-c05f-49af-8a5b-257910ed0260,Steven,White,Female,189-04-6110,1978-04-08,125087.0,4622-9836-8651-1731,Mastercard,8876132656,Asia-Pacific,"35/94, Luthra Street Bhilwara-058891",2024-01-14 04:41:18
b56471c8-e15e-46c1-9f08-199927fafa5d,Cynthia,Hill,Female,455-88-6041,1987-12-23,111953.71,4794-4770-4703-5201,American Express,7210201009,Asia-Pacific,"H.No. 936, Chand Chowk Karnal 456194",2024-03-12 12:53:39
6b547c70-0a5b-4380-9d6f-3010c8bec05c,Jake,Miller,Female,838-40-3806,1978-08-04,131063.06,4302-1805-6503-1728,Visa,7216299221,Europe,"852 Baudoux Well Apt. 183 Wattieztown, WI 68657",2024-01-30 10:30:57
968c80b9-534a-4d58-8818-361096a4087e,Kathryn,Yoder,Male,469-54-7203,1936-08-20,25581.51,4065-8905-7705-5641,Discover,8860902790,Asia-Pacific,"90/91 Bhargava Chowk Srikakulam-004381",2024-03-30 09:50:03
6c610ed7-0f13-4e3f-b816-be637fcf8723,Jeffrey,Walker,Female,764-21-6279,1966-03-09,104724.96,4238-9832-7031-1817,American Express,8190831079,Asia-Pacific,"33/43 Goyal Chowk Sambhal 781808",2024-04-14 21:31:14
3d242bf4-5e33-484f-ae4e-9557e9072678,Ricardo,Cohen,Female,432-60-1820,1977-11-24,48232.64,4746-9123-9649-2081,American Express,7220962689,Asia-Pacific,"53, Atwal Road, Ambarnath 843134",2024-01-02 03:15:39
95004140-903f-43f6-a6bd-e4db043c8620,Kristina,Glover,Female,337-28-2104,1975-01-03,88868.44,4036-6967-9848-4817,American Express,6218628778,North America,"260 Jessica Village Apt. 456 Woodsfurt, UT 84700",2024-01-24 12:41:58
